기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복 및 신발	의복 및 신발	의복 및 신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설유지ㆍ보수	수도 및 주거관련 서비스	전기 가스 및 기타연료	계	가구 가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향 영상 사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품 조경용품 및 애완동물	오락 및 문화서비스	신문 서적 및 문방구	단체여행	계	유치원 및 초등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2010.11	구분	85.758	78.342	77.983	84.556	63.017	86.083	54.609	80.424	81.711	72.33	81.981	79.741	72.08	67.669	107.143	82.469	74.735	86.78	90.802	78.822	89.005	78.655	91.175	94.339	88.443	92.27	95.205	98.823	112.444	78.037	109.678	69.347	117.154	111.422	97.676	155.173	91.996	88.961	87.491	82.845	101.452	89.769	119.454	103.456	77.319	81.438	81.561	78.541	86.524	87.328	71.42	99.731
2010.12	구분	86.013	78.189	77.754	85.142	62.891	85.483	54.609	81.96	81.792	82.838	82.225	80.056	72.08	67.6	107.143	82.469	74.735	86.78	90.074	82.01	89.005	78.423	91.266	94.53	88.443	92.27	96.725	99.021	115.686	78.426	109.019	69.347	117.154	110.643	97.385	153.447	91.996	89.586	87.491	83.009	100.761	89.858	119.454	103.456	77.397	81.438	81.561	75.46	86.524	87.328	72.124	99.532
2011.01	구분	86.95	81.102	80.803	85.56	62.891	85.569	54.609	82.04	81.873	82.675	82.957	80.373	72.08	68.826	109.814	83.123	76.366	86.78	90.166	81.372	89.005	79.503	92.088	94.909	89.591	93.097	98.15	99.915	118.592	78.738	109.019	69.347	117.154	110.643	98.354	153.133	91.812	90.211	88.966	83.009	102.736	90.215	119.454	103.456	77.859	81.759	81.884	76.513	87.209	88.191	72.759	99.632
2011.02	구분	87.461	82.328	82.099	85.644	62.828	85.312	54.609	82.121	81.953	82.675	83.283	80.53	72.368	70.528	109.814	83.613	76.366	92.086	90.71	83.524	88.026	79.04	92.545	95.858	89.768	93.189	98.531	99.716	119.822	78.426	109.019	69.347	117.154	110.643	98.354	152.193	91.628	91.64	89.053	83.584	101.65	90.305	119.454	103.456	78.09	82.964	83.089	76.211	87.466	88.277	73.886	99.731
2011.03	구분	87.801	82.252	82.022	86.147	62.891	85.398	54.609	82.202	82.034	82.675	83.609	81.083	72.8	69.847	109.814	84.022	76.811	92.086	91.165	84.72	88.115	79.271	92.362	95.478	89.768	93.281	100.146	99.716	123.734	78.505	108.91	69.347	115.514	110.643	98.936	150.31	91.26	90.3	89.574	84.979	103.724	91.2	120.751	105.418	79.553	82.964	83.089	79.068	88.237	88.881	73.957	101.321
2011.04	구분	87.886	81.715	81.413	86.314	62.828	85.226	54.609	82.283	82.195	82.512	84.016	81.556	74.312	69.779	109.92	83.777	76.885	92.171	91.073	83.286	88.65	79.04	92.453	95.668	89.856	93.281	100.336	99.816	123.957	78.66	108.91	69.347	115.514	110.643	98.742	147.486	91.352	91.461	89.574	85.062	103.526	91.2	120.751	105.418	79.63	83.446	83.492	79.293	87.809	88.709	72.124	101.321
2011.05	구분	88.057	80.718	80.193	89.077	63.646	85.226	55.647	83.252	83.163	83.408	84.586	81.951	75.537	68.554	112.698	84.268	76.885	92.171	91.165	86.075	88.916	79.425	92.362	95.952	89.591	93.005	100.241	100.313	123.286	78.972	108.91	69.347	113.172	110.643	99.42	147.486	91.076	91.372	89.661	85.062	106.786	91.2	120.751	105.418	79.63	83.767	83.894	79.293	88.322	88.881	74.731	101.321
2011.06	구분	88.227	81.179	80.65	90.165	63.584	84.969	55.647	83.415	83.324	83.408	84.83	82.268	76.905	68.077	112.698	84.676	77.849	92.343	90.983	85.915	89.45	80.197	92.818	97.091	89.591	93.097	100.05	100.014	122.616	79.128	108.91	69.347	113.172	110.643	99.032	147.328	91.076	91.193	89.574	85.144	105.107	91.378	120.751	105.418	79.784	84.169	84.296	78.992	88.322	88.968	74.52	101.321
2011.07	구분	88.654	82.942	82.479	90.751	63.394	84.368	55.647	83.819	83.324	86.096	84.911	82.504	77.12	67.873	112.698	84.594	78.887	92.343	90.71	86.633	92.032	79.348	92.909	96.902	89.768	93.649	100.906	100.014	124.405	79.674	108.91	69.347	113.172	110.643	99.517	143.249	91.076	91.907	89.661	85.555	108.664	91.289	120.751	105.315	79.784	84.41	84.457	82.6	88.151	88.881	73.604	101.42
2011.08	구분	89.25	85.165	84.843	90.751	63.584	84.969	55.647	83.9	83.405	86.096	85.399	82.899	76.976	68.281	113.659	84.594	78.887	92.343	90.62	86.394	92.032	79.348	93.092	96.997	90.032	93.649	101.477	100.014	125.522	79.83	108.91	69.347	113.172	110.643	99.323	142.307	90.892	91.282	89.661	85.637	108.466	91.378	120.751	105.315	79.861	84.731	84.779	82.6	88.322	88.881	74.379	101.42
2011.09	구분	89.164	84.704	84.386	90.584	63.584	85.14	55.647	83.9	83.485	86.014	85.643	83.294	77.049	67.805	113.872	84.921	79.629	92.257	90.802	87.669	92.12	79.657	93.275	97.091	90.209	93.832	101.477	100.014	125.857	79.362	106.935	69.347	113.172	108.637	98.838	141.366	90.708	92.444	89.748	85.637	105.602	91.378	120.751	105.211	79.861	84.892	85.02	81.172	88.322	89.313	73.11	101.519
2011.10	구분	89.079	83.172	82.708	91.17	63.584	85.055	55.647	83.415	83.405	82.756	86.377	83.609	77.049	67.805	117.077	84.512	79.629	92.343	91.346	84.162	92.298	78.963	93.184	96.997	90.121	93.832	101.952	100.412	127.087	79.206	106.497	74.34	113.172	108.192	98.742	139.326	90.708	92.444	89.921	85.637	105.798	91.467	120.751	105.211	80.092	85.052	85.1	81.097	88.322	89.572	72.265	101.519
2011.11	구분	89.079	82.635	82.099	91.923	63.584	85.055	55.647	85.597	85.503	85.933	86.702	84.004	77.192	67.805	117.077	84.676	79.629	92.343	89.803	86.473	93.01	79.657	93.184	96.048	90.651	94.384	101.477	100.014	126.417	78.894	105.509	74.34	109.305	107.188	98.644	139.484	90.616	91.997	90.008	85.637	105.404	91.467	120.751	105.211	80.092	84.249	84.377	81.172	88.494	89.658	73.11	101.42
2011.12	구분	89.335	83.708	83.242	92.09	63.52	84.797	55.647	85.597	85.503	85.933	87.028	84.241	77.192	69.03	117.291	85.657	79.629	92.343	91.346	87.829	92.655	80.968	93.184	95.858	90.739	94.384	101.191	100.014	125.298	79.362	105.181	74.34	109.305	106.854	98.742	139.326	90.8	92.355	90.008	86.129	105.107	91.735	120.751	105.211	80.4	84.329	84.457	82.45	89.093	90.348	74.52	101.321
2012.01	구분	89.829	85.51	85.087	92.485	63.571	84.686	55.756	85.589	85.591	85.403	87.329	84.478	77.386	70.33	117.291	86.466	79.525	92.395	91.101	86.25	92.735	83.003	94.325	97.111	91.579	96.13	101.666	100.442	126.115	79.643	105.181	74.34	109.305	106.854	99.013	137.977	92.042	92.926	91.076	86.277	104.228	91.709	120.775	105.284	80.546	84.466	84.457	85.463	88.168	90.306	74.202	99.373
2012.02	구분	90.203	85.31	84.858	92.61	64.005	84.574	56.4	86.332	85.696	89.679	88.094	84.73	77.351	75.606	117.302	88.509	79.576	92.395	91.609	88.107	93.518	88.401	94.562	97.889	91.499	96.185	102.427	100.313	128.037	79.713	105.181	74.34	109.305	106.854	98.452	135.451	93.274	93.194	90.936	87.188	102.203	91.906	120.775	105.284	80.816	84.562	84.602	83.006	88.631	90.332	77.16	99.373
2012.03	구분	90.322	86.046	85.644	92.685	63.948	84.394	56.4	86.381	85.744	89.679	88.363	85.109	77.869	75.395	117.313	88.575	79.643	94.397	91.528	89.063	93.331	87.908	94.707	98.316	91.508	96.185	106.103	99.925	130.373	86.425	105.181	74.34	109.305	106.854	98.199	134.479	96.421	93.069	90.268	87.632	102.164	91.048	109.902	101.887	81.224	84.241	84.28	82.706	84.296	90.158	77.739	81.881
2012.04	구분	90.356	86.092	85.704	92.459	64.037	84.695	56.4	85.872	85.728	86.421	88.501	85.504	78.085	74.156	117.334	87.978	79.606	94.209	91.419	87.701	93.322	86.543	93.521	95.146	91.181	96.461	106.607	99.637	131.536	86.674	105.181	74.34	109.305	106.854	98.965	133.866	96.816	92.104	90.156	87.763	106.707	91.164	109.902	101.887	81.393	84.402	84.417	83.652	84.699	91.47	76.421	81.215
2012.05	구분	90.45	85.372	84.927	92.543	63.779	83.811	56.4	87.342	86.882	89.679	88.583	85.741	78.222	73.415	117.356	88.46	79.747	94.388	92.109	90.338	93.162	86.636	93.813	95.867	91.278	96.488	106.465	100.024	130.854	86.776	105.181	74.34	109.305	106.854	99.226	133.004	97.359	92.381	90.26	87.894	108.011	91.316	109.902	101.887	81.586	84.514	84.529	83.998	85.068	92.221	75.942	81.255
2012.06	구분	90.356	85.004	84.553	92.367	64.049	84.737	56.4	87.723	87.381	89.346	88.721	85.899	78.287	73.251	117.654	88.706	79.747	94.388	92.308	90.753	93.162	87.136	93.876	96	91.305	96.516	105.429	100.083	128.216	86.744	105.181	74.34	109.305	106.854	98.286	126.445	96.927	92.479	90.398	87.845	107.063	91.396	109.902	101.887	81.686	84.554	84.577	83.6	84.973	92.195	75.4	81.255
2012.07	구분	90.305	84.191	83.7	92.133	63.891	84.205	56.4	87.714	87.381	89.346	89.299	86.002	78.337	73.551	120.72	88.436	81.081	94.388	92.354	88.426	93.598	85.973	93.366	95.497	90.731	96.176	104.127	100.272	124.516	86.955	105.181	74.34	109.305	106.854	100.118	125.017	96.521	92.176	90.729	87.992	116.062	91.691	109.902	101.887	82.094	84.731	84.699	87.425	83.748	91.772	69.004	81.255
2012.08	구분	90.842	85.571	85.186	92.015	64.308	85.646	56.4	87.747	87.462	89.134	89.69	86.136	78.438	74.673	121.767	88.615	81.081	94.388	90.802	90.793	93.598	87.314	93.348	95.355	90.783	96.221	105.134	100.461	127.008	86.987	105.181	74.34	109.305	106.854	99.604	125.017	95.611	91.729	90.581	87.968	114.205	93.006	109.902	101.887	83.881	84.876	84.803	89.83	84.451	92.471	70.906	81.255
2012.09	구분	91.455	89.005	88.716	93.849	64.546	86.504	56.4	87.755	87.446	89.191	89.625	86.262	78.575	73.21	121.788	89.016	81.185	94.388	92.472	90.633	93.589	87.067	93.429	95.555	90.793	96.24	105.771	99.17	129.692	86.604	105.181	74.34	109.305	106.854	99.003	126.32	96.31	92.033	90.503	87.976	110.501	93.274	109.902	101.794	84.274	84.964	85.004	83.186	85.975	93.023	78.844	81.255
2012.10	구분	91.225	86.943	86.497	94.225	64.572	86.589	56.4	87.294	87.462	86.112	89.886	86.46	79.821	73.904	121.788	88.623	81.185	94.388	91.191	88.37	93.749	87.561	93.54	95.64	90.96	96.24	105.676	99.2	129.322	86.697	105.181	74.34	109.305	106.854	99.546	125.754	97.083	91.712	90.538	88.379	113.149	93.274	109.902	101.794	84.274	85.085	85.1	84.381	85.958	93.101	78.492	81.255
2012.11	구분	90.867	84.313	83.669	94.761	64.666	86.906	56.4	88.871	88.68	89.687	90.023	86.704	79.864	73.727	121.788	88.771	81.185	94.388	90.819	91.088	95.28	87.438	93.494	95.829	90.757	96.24	104.869	99.816	127.087	86.573	105.181	74.34	109.305	106.854	98.616	124.593	97.24	92.998	90.564	88.354	108.604	93.283	109.902	101.794	84.282	85.06	85.084	84.179	85.427	92.074	78.844	81.255
2012.12	구분	91.055	84.896	84.294	94.752	64.736	87.155	56.4	88.91	88.729	89.687	90.325	86.91	79.864	75.082	121.788	88.01	81.185	94.388	89.984	90.363	95.298	85.973	93.439	95.687	90.739	96.24	104.783	99.925	126.606	86.76	105.181	74.34	109.305	106.854	99.342	125.723	98.344	93.319	90.668	88.551	110.787	93.3	109.902	101.794	84.304	85.149	85.149	85.629	85.984	92.851	79.211	81.484
2013.01	구분	91.549	86.437	85.888	95.255	65.151	88.613	56.4	88.797	88.737	88.89	90.968	87.107	80.296	78.009	122.77	88.043	81.141	94.388	90.774	87.947	95.298	86.026	94.443	96.105	91.888	97.995	104.935	101.484	126.148	86.823	105.181	74.34	109.305	106.854	99.042	125.613	97.911	94.177	91.093	89.003	107.863	93.551	109.902	101.794	84.651	85.567	85.551	87.072	85.889	92.894	78.295	81.533
2013.02	구분	91.804	86.912	86.383	95.615	65.214	88.844	56.4	89.032	88.72	90.51	91.326	87.321	80.296	79.861	122.77	88.346	81.067	94.388	91.147	89.581	95.298	86.258	94.497	96.133	91.976	97.995	105.429	101.385	127.668	86.651	105.181	74.34	109.305	106.854	98.799	124.123	98.344	93.971	91.11	88.994	107.626	93.685	109.902	101.794	84.82	85.743	85.728	87.433	86.172	93.075	79.464	81.533
